,Unnamed: 0,Strain,Type_raw,Effects_raw,Ailment_raw,Flavor_raw,Description_raw,labels,Type_lemma,Effects_lemma,Ailment_lemma,Flavor_lemma,Description_lemma,alltext
594,594,Cookie Kush,Indica,"Happy, Euphoric, Paranoid, Relaxed, Hungry, Anxious, Mouth, Dry, Sleepy","Stress, Pain, Lack, Appetite, Insomnia, Depression","Earthy, Sweet",,4,['Indica'],"['happy', 'dry', 'anxious', 'sleepy', 'relaxed', 'paranoid', 'hungry', 'euphoric', 'Mouth']","['pain', 'lack', 'stress', 'Depression', 'Appetite', 'Insomnia']","['earthy', 'sweet']",[],"['depression', 'Sweet', 'relaxed', 'Stress', 'Happy', 'dry', 'anxious', 'sleepy', 'Indica', 'Appetite', 'Pain', 'Insomnia', 'Hungry', 'euphoric', 'lack', ' ', 'earthy', 'paranoid', 'Mouth']"
595,595,Cookie Monster,"Hybrid, Indica","Happy, Euphoric, Relaxed, Hungry, Anxious, Mouth, Dry, Sleepy","Stress, Pain, Lack, Muscle, Insomnia, Spasm, Appetite","Earthy, Sweet, Grape, Floral"," Cookie Monster is a 2014 Seattle Cannabis Cup winner that blends the West Coast royalty, Girl Scout Cookies, and the legendary powerhouse, OG Kush. This combination yields dense frosted buds with hints of purple and orange hairs throughout. A 20/80 indica-dominant hybrid, Cookie Monster pushes the boundaries of Cookies’ medical uses and leans toward medium-to-full sedation. Use Cookie Monster to reduce physical discomfort, indigestion, or before bed to jumpstart your dream machine.   ",2,"['Indica', 'Hybrid']","['dry', 'happy', 'anxious', 'hungry', 'sleepy', 'relaxed', 'euphoric', 'Mouth']","['spasm', 'Pain', 'lack', 'stress', 'Muscle', 'Appetite', 'Insomnia']","['earthy', 'Flowery', 'Grape', 'Sweet']","[' ', 'Cookie', 'Monster', '2014', 'Seattle', 'Cannabis', 'Cup', 'winner', 'blend', 'West', 'Coast', 'royalty', 'Girl', 'Scout', 'Cookies', 'legendary', 'powerhouse', 'OG', 'Kush', 'combination', 'yield', 'dense', 'frosted', 'bud', 'hint', 'purple', 'orange', 'hair', '20/80', 'indica', 'dominant', 'hybrid', 'Cookie', 'Monster', 'push', 'boundary', 'cookie', 'medical', 'use', 'lean', 'medium', 'sedation', 'use', 'Cookie', 'monster', 'reduce', 'physical', 'discomfort', 'indigestion', 'bed', 'jumpstart', 'dream', 'machine', '\xa0\xa0']","['royalty', 'Machine', 'Boundary', '  ', 'Hybrid', 'push', 'Sweet', 'Hint', 'Bed', 'Winner', 'Yield', 'relaxed', '20/80', 'Sedation', '\xa0\xa0 ', 'Lean', 'Cookie', 'Cup', 'Hair', 'Stress', 'Happy', 'dry', 'anxious', 'sleepy', 'Combination', 'Cannabis', 'Appetite', 'Indica', 'Grape', 'Cookies', 'Physical', 'Medical', 'Powerhouse', 'Pain', 'Orange', 'discomfort', 'Jumpstart', 'Coast', 'Blend', 'Kush', 'Frosted', 'Insomnia', 'Scout', 'Hungry', 'euphoric', 'Flowery', 'legendary', 'dense', 'medium', 'Lack', 'Girl', 'Purple', 'Monster', 'Bud', 'West', 'Spasms', 'Use', ' ', 'reduce', 'Seattle', 'Muscle', 'Earthy', 'indigestion', 'Dominant', 'Dream', 'Mouth', 'Og', '2014']"
596,596,Cookie Wreck,Hybrid,"Happy, Focused, Euphoric, Relaxed, Uplifted",,"Earthy, Pungent, Sweet","Cookie Wreck, also called Cookie Trainwreck, is a hybrid cross between Girl Scout Cookies and Trainwreck bred by CannaVenture Seeds. A subtle cookie-like aroma radiates from its dense buds, but more distinct fruity flavors come out on the exhale. This hybrid’s potency is enough to make both parents proud as its cerebral euphoria and full-body effects hit like a freight train. ",5,['hybrid'],"['happy', 'focused', 'relaxed', 'euphoric', 'uplifted']",[],"['earthy', 'pungent', 'sweet']","['Cookie', 'Wreck', 'call', 'Cookie', 'Trainwreck', 'hybrid', 'cross', 'Girl', 'Scout', 'Cookies', 'Trainwreck', 'breed', 'CannaVenture', 'Seeds', 'subtle', 'cookie', 'like', 'aroma', 'radiate', 'dense', 'bud', 'distinct', 'fruity', 'flavor', 'come', 'exhale', 'hybrid', 'potency', 'parent', 'proud', 'cerebral', 'euphoria', 'body', 'effect', 'hit', 'like', 'freight', 'train', '  ']","['cerebral', 'Body', 'Euphoria', 'subtle', 'Hybrid', 'Sweet', '\xa0 ', 'Focused', 'relaxed', 'Potency', 'Effect', 'Uplifted', 'Parent', 'Cookie', 'come', 'Train', 'Happy', 'Freight', 'Fruity', 'Cannaventure', 'Cookies', 'Wreck', 'Breed', 'pungent', 'exhale', 'Cross', 'Trainwreck', 'radiate', 'hit', 'euphoric', 'Dense', 'Distinct', 'Girl', 'Seeds', 'Bud', 'Aroma', 'Flavor', 'Earthy', 'Proud', 'Scout', 'like']"
597,597,Cookies Kush,Indica,"Happy, Euphoric, Relaxed, Hungry, Sleepy",,"Earthy, Pungent, Sweet","Cookies Kush from Barney's Coffeeshop combines Girl Scout Cookies with the Rolex phenotype of OG Kush, resulting in a potent indica cross worthy of 1st place in High Times' 2014 Amsterdam Cannabis Cup in the 'Best Coffeeshop Strain' category.",4,['Indica'],"['happy', 'sleepy', 'relaxed', 'hungry', 'euphoric']",[],"['earthy', 'pungent', 'sweet']","['Cookies', 'Kush', '  ', 'Barney', 'Coffeeshop', '  ', 'combine', '  ', 'Girl', 'Scout', 'Cookies', 'Rolex', 'phenotype', 'OG', 'Kush', 'result', 'potent', 'indica', 'cross', 'worthy', '1st', 'place', 'High', 'Times', '2014', 'Amsterdam', 'Cannabis', 'Cup', '  ', 'good', 'Coffeeshop', 'Strain', 'category']","['good', '  ', 'Coffeeshop', 'Phenotype', 'Sweet', '2014', 'relaxed', '1st', 'Category', 'Result', 'Cup', 'Happy', 'Times', 'Place', 'sleepy', 'Indica', 'Cannabis', 'Worthy', 'Cookies', 'Combine', 'high', 'pungent', 'Strain', 'Cross', 'Hungry', 'euphoric', 'potent', 'Girl', 'Rolex', 'Amsterdam', 'Earthy', 'Barney', 'Scout', 'Og', 'Kush']"
598,598,Copper Kush,Indica,"Happy, Euphoric, Relaxed, Uplifted, Tingly",,"Wood, Earthy, Pungent","Copper Kush is an 80% indica cross between Frankenstein and Lemon OG Kush bred by Nine Point Growth Industries in Washington. With aromas of earthy pine and zesty lemon, Copper Kush delivers swift relaxation of both mind and body, and progresses into comfortable focus and introspection over time. Copper Kush is grown in a soil medium, and is available for purchase in Washington’s recreational cannabis stores.",4,['Indica'],"['tingly', 'happy', 'relaxed', 'euphoric', 'uplifted']",[],"['earthy', 'pungent', 'woody']","['Copper', 'Kush', '80', 'indica', 'cross', 'Frankenstein', 'Lemon', 'OG', 'Kush', 'breed', 'Point', 'Growth', 'Industries', 'Washington', 'aroma', 'earthy', 'pine', 'zesty', 'lemon', 'Copper', 'Kush', 'deliver', 'swift', 'relaxation', 'mind', 'body', 'progress', 'comfortable', 'focus', 'introspection', 'time', 'Copper', 'Kush', 'grow', 'soil', 'medium', 'available', 'purchase', 'Washington', 'recreational', 'cannabis', 'store']","['Body', 'Purchase', '80', 'relaxed', 'Lemon', 'Frankenstein', 'Washington', 'Uplifted', 'Mind', 'comfortable', 'grow', 'Tingly', 'Happy', 'deliver', 'Indica', 'Cannabis', 'Copper', 'Growth', 'Relaxation', 'Time', 'Breed', 'pungent', 'zesty', 'Pine', 'Cross', 'Store', 'Soil', 'euphoric', 'Medium', 'available', 'Introspection', 'Recreational', 'Aroma', 'Woody', 'Earthy', 'Point', 'Progress', 'Focus', 'Industries', 'Swift', 'Og', 'Kush']"
599,599,Corleone Kush,"Hybrid, Indica","Happy, Euphoric, Paranoid, Relaxed, Hungry, Anxious, Uplifted, Mouth, Dry, Sleepy","Stress, Pain, Muscle, Spasms, Insomnia, Depression","Floral, Sweet, Earthy, Spicy, Herbal, Pine"," Corleone Kush is a mostly indica hybrid cannaibs strain that, like its fictional Godfather namesake, is definitely powerful. Its sour citrus aroma with darker notes of incense is telling of its Pre-98 Bubba Kush and SFV OG Kush genetics. This potent strain flowers in 8 weeks and produces dense flowers. Its heavy indica properties make Corleone Kush an ideal choice for pain relief and insomnia, though its potency may bring on more sativa-like energetic effects for some consumers.",2,"['Indica', 'Hybrid']","['happy', 'dry', 'anxious', 'hungry', 'sleepy', 'paranoid', 'relaxed', 'euphoric', 'Mouth', 'Uplifted']","['pain', 'stress', 'Spasms', 'Depression', 'Muscle', 'Insomnia']","['flowery', 'spicy', 'Pine', 'Sweet', 'earthy', 'Herbal']","[' ', 'Corleone', 'Kush', 'indica', 'hybrid', 'cannaibs', 'strain', 'like', 'fictional', 'Godfather', '  ', 'namesake', 'definitely', 'powerful', 'sour', 'citrus', 'aroma', 'dark', 'note', 'incense', 'tell', 'Pre-98', '  ', 'Bubba', 'Kush', 'SFV', 'OG', 'Kush', 'genetics', 'potent', 'strain', 'flower', '8', 'week', 'produce', 'dense', 'flower', 'heavy', 'indica', 'property', 'Corleone', 'Kush', 'ideal', 'choice', 'pain', 'relief', 'insomnia', 'potency', 'bring', 'sativa', 'like', 'energetic', 'effect', 'consumer']","['spicy', 'tell', 'Corleone', '  ', 'depression', 'Sativa', 'Hybrid', 'Heavy', 'sweet', 'Produce', 'Namesake', 'relaxed', 'Potency', 'Bubba', 'powerful', 'Property', 'Uplifted', 'Effect', 'consumer', 'Stress', 'Note', 'Happy', 'dry', 'anxious', 'Incense', 'Week', 'Dark', 'Relief', 'sleepy', 'Indica', 'Genetics', '8', 'Herbal', 'Godfather', 'Pain', 'energetic', 'Pine', 'Strain', 'Bring', 'Insomnia', 'Cannaibs', 'Sfv', 'Hungry', 'euphoric', 'sour', 'Ideal', 'definitely', 'Flowery', 'dense', 'Choice', 'potent', 'Flower', 'fictional', 'Spasms', 'Aroma', ' ', 'Muscle', 'earthy', 'paranoid', 'Citrus', 'Mouth', 'Og', 'Pre-98', 'like', 'Kush']"
600,600,Cornbread,"Hybrid, Indica","Happy, Euphoric, Paranoid, Relaxed, Hungry, Mouth, Dry, Sleepy","Stress, Pain, Lack, Insomnia, Appetite","Earthy, Wood, Lemon, Citrus"," Cornbread by Rare Dankness is an 80/20 indica-dominant hybrid strain that crosses Katsu Bubba Kush and Rare Dankness #2. Its aroma is a sweet mix of lemons and incense, and like a perfect appetizer, Cornbread is all you’ll need to invite the appetite before dinner. With heavy, tranquilizing effects that relax the body, Cornbread also makes a great nightcap as you transition into sleep.",2,"['Indica', 'Hybrid']","['happy', 'dry', 'sleepy', 'relaxed', 'paranoid', 'hungry', 'euphoric', 'Mouth']","['pain', 'lack', 'stress', 'Appetite', 'Insomnia']","['earthy', 'Lemon', 'Citrus', 'Woody']","[' ', 'Cornbread', 'rare', 'dankness', '80/20', 'indica', 'dominant', 'hybrid', 'strain', 'cross', 'Katsu', 'Bubba', 'Kush', 'rare', 'dankness', '2', 'aroma', 'sweet', 'mix', 'lemon', 'incense', 'like', 'perfect', 'appetizer', 'Cornbread', 'need', 'invite', 'appetite', 'dinner', 'heavy', 'tranquilize', 'effect', 'relax', 'body', 'Cornbread', 'make', 'great', 'nightcap', 'transition', 'sleep']","['body', 'Dankness', '  ', 'Transition', 'Hybrid', 'Heavy', 'Sweet', 'relaxed', 'Rare', 'Lemon', 'Bubba', 'Effect', 'stress', 'Sleep', 'Happy', 'Dry', 'Mix', 'Incense', 'relax', 'sleepy', 'Indica', 'Appetizer', 'Appetite', 'Cornbread', 'Katsu', 'Pain', 'great', 'strain', '2', 'Cross', 'Kush', 'Tranquilize', 'Insomnia', 'Hungry', 'invite', 'Euphoric', 'Nightcap', 'lack', 'Aroma', ' ', 'woody', 'nee', 'earthy', 'perfect', 'Dinner', 'Paranoid', 'Citrus', 'Dominant', 'Mouth', 'like', '80/20']"
601,601,Cosmic Collision,Sativa,"Euphoric, Relaxed, Energetic, Uplifted, Talkative",,"Earthy, Minty, Sweet","Cosmic Collision is a sativa-dominant strain from MTG Seeds, who crossed Cosmic Charlie and Piña Collision into a fusion that boasts both flavor and potency. The exhale releases a tropical medley of pineapple and kiwi that hints at the Pineapple in this strain’s lineage. Uplifting and euphoric, Cosmic Collision offers a brighter outlook for those suffering from stress and depression.",3,['sativa'],"['energetic', 'talkative', 'relaxed', 'euphoric', 'uplifted']",[],"['earthy', 'minty', 'sweet']","['Cosmic', 'Collision', 'sativa', 'dominant', 'strain', 'MTG', 'Seeds', 'cross', 'Cosmic', 'Charlie', 'Piña', 'Collision', 'fusion', 'boast', 'flavor', 'potency', 'exhale', 'release', 'tropical', 'medley', 'pineapple', 'kiwi', 'hint', 'Pineapple', 'strain', 'lineage', 'uplifting', 'euphoric', 'Cosmic', 'Collision', 'offer', 'bright', 'outlook', 'suffer', 'stress', 'depression']","['Outlook', 'minty', 'sativa', 'Kiwi', 'Depression', 'Sweet', 'Hint', 'relaxed', 'Cosmic', 'Potency', 'Uplifted', 'stress', 'offer', 'boast', 'uplifting', 'tropical', 'Medley', 'bright', 'energetic', 'Exhale', 'Release', 'Strain', 'Collision', 'Cross', 'Lineage', 'euphoric', 'Seeds', 'Pineapple', 'Flavor', 'earthy', 'talkative', 'Charlie', 'Piña', 'Dominant', 'suffer', 'Fusion', 'Mtg']"
602,602,Cotton Candy Kush,Hybrid,"Happy, Euphoric, Relaxed, Energetic, Uplifted",,"Floral, Sweet, Berry","Named for its soft, fluffy appearance and intense candied aroma, Cotton Candy Kush is a hybrid that crosses Lavender with Power Plant. The result is a pungent palate of sweet, berry flavors and a floral scent. The euphoric effects will have you feeling like a kid in a candy store, while the relaxing powers will keep stress and pain to a minimum.",5,['hybrid'],"['energetic', 'happy', 'relaxed', 'euphoric', 'uplifted']",[],"['flowery', 'Berry', 'Sweet']","['name', 'soft', 'fluffy', 'appearance', 'intense', 'candied', 'aroma', 'Cotton', 'Candy', 'Kush', 'hybrid', 'cross', 'Lavender', 'Power', 'Plant', 'result', 'pungent', 'palate', 'sweet', 'berry', 'flavor', 'floral', 'scent', 'euphoric', 'effect', 'feel', 'like', 'kid', 'candy', 'store', 'relax', 'power', 'stress', 'pain', '  ', '  ', 'minimum']","['scent', '  ', 'candy', 'Hybrid', 'Sweet', 'Palate', 'relaxed', 'Plant', 'feel', 'effect', 'Uplifted', 'Result', 'Stress', 'Happy', 'Appearance', 'relax', 'Pain', 'energetic', 'pungent', 'Berry', 'Lavender', 'Kid', 'like', 'Cross', 'Store', 'Fluffy', 'intense', 'euphoric', 'power', 'Minimum', 'Flowery', 'Candy', 'Aroma', 'Flavor', 'Floral', 'Cotton', 'Soft', 'Kush']"
603,603,Cotton Purple Chem,Hybrid,"Happy, Euphoric, Relaxed, Uplifted, Tingly",,"Earthy, Sweet, Berry","Cotton Purple Chem, or CPC, is a hybrid bred by Hesperides Gardens. CPC claimed the People’s Choice award at the 2015 DOPE Cup in Seattle with its sweet diesel flavors and extremely pungent aroma.",5,['hybrid'],"['tingly', 'happy', 'relaxed', 'euphoric', 'uplifted']",[],"['earthy', 'Berry', 'Sweet']","['Cotton', 'Purple', 'Chem', 'CPC', 'hybrid', 'breed', 'Hesperides', 'Gardens', 'CPC', 'claim', 'People', 'Choice', 'award', '2015', 'DOPE', 'Cup', 'Seattle', 'sweet', 'diesel', 'flavor', 'extremely', 'pungent', 'aroma']","['People', 'Hybrid', 'Sweet', 'Award', 'Relaxed', 'Gardens', 'Uplifted', 'Cup', 'Tingly', 'Happy', 'Diesel', 'Hesperides', '2015', 'Breed', 'Chem', 'Pungent', 'Berry', 'Cpc', 'Euphoric', 'Choice', 'Purple', 'Dope', 'Aroma', 'Flavor', 'Seattle', 'Earthy', 'extremely', 'claim', 'Cotton']"
604,604,Cough,Sativa,"Focused, Giggly, Euphoric, Relaxed, Hungry, Energetic, Anxious, Uplifted, Mouth, Dry, Focus","Nausea, Depression, Stress, Pain","Citrus, Pungent, Pine"," The Cough is a sativa-dominant hybrid of the renowned Northern Lights #5 and Haze. This cross is named for its thick smoke that expands the lungs and often causes consumers to cough. The flavor and aroma is a mixture of earthy, hash notes and a hint of citrus. The Cough produces a happy mindset and a relaxed body making it a great strain to counter stress.",3,['sativa'],"['energetic', 'dry', 'anxious', 'hungry', 'giggly', 'Focus', 'Focused', 'relaxed', 'euphoric', 'Mouth', 'Uplifted']","['pain', 'Depression', 'stress', 'nausea']","['Citrus', 'Pine', 'pungent']","[' ', 'cough', 'sativa', 'dominant', 'hybrid', 'renowned', 'Northern', 'Lights', '5', 'Haze', 'cross', 'name', 'thick', 'smoke', 'expand', 'lung', 'cause', 'consumer', 'cough', 'flavor', 'aroma', 'mixture', 'earthy', 'hash', 'note', 'hint', 'citrus', 'Cough', 'produce', 'happy', 'mindset', 'relaxed', 'body', 'make', 'great', 'strain', 'counter', 'stress']","['body', 'Northern', 'Cough', '  ', 'depression', 'Sativa', 'Hybrid', 'Hint', 'mixture', 'Produce', 'focus', 'relaxed', 'Uplifted', 'Mindset', 'Consumer', 'stress', 'Cause', 'Dry', '5', 'anxious', 'note', 'Happy', 'giggly', 'Haze', 'nausea', 'Pain', 'energetic', 'pungent', 'Lights', 'Lung', 'Great', 'Counter', 'Pine', 'Strain', 'Cross', 'Hungry', 'Euphoric', 'Smoke', 'Thick', 'Hash', 'Renowned', 'Aroma', ' ', 'Flavor', 'Earthy', 'Focus', 'Citrus', 'Dominant', 'expand', 'Mouth']"
605,605,Cowboy Kush,Hybrid,"Happy, Euphoric, Relaxed, Creative, Uplifted",,"Earthy, Diesel, Pine","Cowboy Kush by Greenpoint Seeds is a hybrid cross of Hell’s Angels OG and Stardawg. This aromatic hybrid combines the sharpness and sweetness of Hell’s Angels OG and the chemical tartness and astringent aromas of the Stardawg to create a unique, if not challenging terpene profile. The best phenotypes of Cowboy Kush have a balanced combination of these aromas as well as middle-of-the-road mental and physical effects. Enjoy Cowboy Kush to shrug off stress while assisting with inflammation and insomnia.",5,['hybrid'],"['happy', 'creative', 'relaxed', 'euphoric', 'uplifted']",[],"['earthy', 'Diesel', 'Pine']","['cowboy', 'Kush', 'Greenpoint', 'Seeds', 'hybrid', 'cross', 'Hell', 'Angels', 'OG', 'Stardawg', 'aromatic', 'hybrid', 'combine', 'sharpness', 'sweetness', 'Hell', 'Angels', 'OG', 'chemical', 'tartness', 'astringent', 'aroma', 'Stardawg', 'create', 'unique', 'challenging', 'terpene', 'profile', 'good', 'phenotype', 'Cowboy', 'Kush', 'balanced', 'combination', 'aroma', 'middle', 'road', 'mental', 'physical', 'effect', 'enjoy', 'cowboy', 'Kush', 'shrug', 'stress', 'assist', 'inflammation', 'insomnia']","['good', 'Mental', 'Profile', 'Balanced', 'Phenotype', 'Hybrid', 'challenging', 'create', 'Stardawg', 'Sharpness', 'enjoy', 'Relaxed', 'Chemical', 'Effect', 'Uplifted', 'Stress', 'Happy', 'Middle', 'Diesel', 'Combination', 'Hell', 'Sweetness', 'Angels', 'Combine', 'Physical', 'Aromatic', 'Road', 'shrug', 'Pine', 'Cross', 'Unique', 'Insomnia', 'Terpene', 'creative', 'Euphoric', 'Greenpoint', 'Cowboy', 'Seeds', 'Aroma', 'Earthy', 'Assist', 'tartness', 'astringent', 'Og', 'inflammation', 'Kush']"
606,606,Cracker Jack,"Sativa, Hybrid","Focused, Happy, Euphoric, Paranoid, Energetic, Creative, Uplifted, Mouth, Dry, Talkative","Stress, Lack, Appetite, Nausea, Depression","Wood, Sweet, Citrus", This cannabis sativa strain combines Jack Herer with Green Crack to produce a potent buzz.  ,1,"['sativa', 'Hybrid']","['energetic', 'Dry', 'happy', 'euphoric', 'talkative', 'focused', 'paranoid', 'creative', 'Mouth', 'Uplifted']","['lack', 'stress', 'Depression', 'Appetite', 'nausea']","['Citrus', 'Woody', 'sweet']","[' ', 'cannabis', 'sativa', 'strain', 'combine', 'Jack', 'Herer', 'Green', 'Crack', 'produce', 'potent', 'buzz', '  ']","['  ', 'depression', 'Sativa', 'Hybrid', 'Sweet', 'Green', 'Produce', '\xa0 ', 'Focused', 'Uplifted', 'stress', 'Dry', 'Happy', 'Cannabis', 'appetite', 'combine', 'Nausea', 'energetic', 'strain', 'euphoric', 'creative', 'Herer', 'lack', 'potent', 'Jack', ' ', 'Woody', 'talkative', 'paranoid', 'Citrus', 'Buzz', 'Mouth', 'crack']"
607,607,Crazy Miss Hyde,Hybrid,"Happy, Euphoric, Relaxed, Creative, Uplifted",,"Butter, Vanilla, Sweet","Crazy Miss Hyde is a surprisingly balanced hybrid given her name. She is a lively combination of the uplifting, sativa-dominant Belladona and the powerhouse indica Northern Lights. The buds deliver a potent mixture of earthy flavors like menthol and chocolate with a sweet vanilla influence. The effects tend to be focused in the head, with thought provoking stimulation and creativity that can border on anxiety when over-consumed. With the right dosing the indica influence levels out the effects of Crazy Miss Hyde and induces a relaxing sense of euphoria.",5,['hybrid'],"['happy', 'creative', 'relaxed', 'euphoric', 'uplifted']",[],"['Vanilla', 'Butter', 'Sweet']","['Crazy', 'Miss', 'Hyde', 'surprisingly', 'balanced', 'hybrid', 'give', 'lively', 'combination', 'uplifting', 'sativa', 'dominant', 'Belladona', 'powerhouse', 'indica', 'Northern', 'Lights', 'bud', 'deliver', 'potent', 'mixture', 'earthy', 'flavor', 'like', 'menthol', 'chocolate', 'sweet', 'vanilla', 'influence', 'effect', 'tend', 'focus', 'head', 'thought', 'provoking', 'stimulation', 'creativity', 'border', 'anxiety', 'consume', 'right', 'dose', 'indica', 'influence', 'level', 'effect', 'Crazy', 'Miss', 'Hyde', 'induce', 'relaxing', 'sense', 'euphoria']","['Northern', 'Euphoria', 'Creativity', 'balanced', 'sativa', 'Hybrid', 'Hyde', 'Sweet', 'mixture', 'provoking', 'stimulation', 'relaxed', 'surprisingly', 'Vanilla', 'Effect', 'Uplifted', 'Happy', 'relax', 'Dose', 'Combination', 'Indica', 'deliver', 'tend', 'influence', 'uplifting', 'sense', 'crazy', 'Level', 'Powerhouse', 'induce', 'Lights', 'Anxiety', 'Menthol', 'Head', 'Belladona', 'creative', 'euphoric', 'Border', 'potent', 'Bud', 'Chocolate', 'consume', 'Flavor', 'Thought', 'Earthy', 'right', 'Dominant', 'Miss', 'lively', 'Focus', 'Butter', 'like']"
608,608,Cream Caramel,"Hybrid, Indica","Focused, Happy, Euphoric, Relaxed, Anxious, Mouth, Dry, Tingly, Sleepy","Insomnia, Stress, Depression, Pain","Butter, Honey, Earthy, Sweet"," Cream Caramel, named after its sweet caramel aroma, is a 90% indica cross between BlueBlack, Maple Leaf Indica, and White Rhino. Covered in a sugary coat of THC-rich resin, Cream Caramel delivers heavy, relaxing indica effects that soothe the mind and body. Though originally bred by Sweet Seeds in Spain, Royal Queen Seeds have also championed their own rendition called Royal Caramel. Early October is the finish line for outdoor Cream Caramel flowers, while indoor gardens should be harvested after a 7 to 8 week flowering period.",2,"['Indica', 'Hybrid']","['tingly', 'happy', 'dry', 'anxious', 'sleepy', 'focused', 'relaxed', 'euphoric', 'Mouth']","['pain', 'Depression', 'Insomnia', 'stress']","['earthy', 'Butter', 'Honey', 'Sweet']","[' ', 'Cream', 'Caramel', 'name', 'sweet', 'caramel', 'aroma', '90', 'indica', 'cross', 'BlueBlack', 'Maple', 'Leaf', 'Indica', 'White', 'Rhino', 'cover', 'sugary', 'coat', 'thc', 'rich', 'resin', 'Cream', 'Caramel', 'deliver', 'heavy', 'relax', 'indica', 'effect', 'soothe', 'mind', 'body', 'originally', 'breed', 'Sweet', 'Seeds', 'Spain', 'Royal', 'Queen', 'Seeds', 'champion', 'rendition', 'call', 'Royal', 'Caramel', 'early', 'October', 'finish', 'line', 'outdoor', 'Cream', 'Caramel', 'flower', 'indoor', 'garden', 'harvest', '7', '8', 'week', 'flower', 'period']","['White', 'Body', 'Period', 'Cream', '  ', 'Depression', 'Rhino', 'Hybrid', 'sugary', 'sweet', 'Heavy', 'originally', 'soothe', '90', 'focus', 'relaxed', 'Caramel', 'effect', 'Mind', 'Stress', 'Tingly', 'happy', 'dry', 'anxious', 'Week', 'Royal', 'relax', 'rendition', 'sleepy', 'Indica', 'deliver', '8', 'Maple', 'Line', 'Harvest', 'Finish', 'Queen', 'Pain', 'Breed', 'Champion', 'Rich', 'Leaf', 'Cross', 'Garden', 'Cover', 'Insomnia', 'Euphoric', 'resin', 'Blueblack', 'Honey', 'October', 'Flower', 'Seeds', 'Thc', 'Outdoor', 'Aroma', ' ', '7', 'Earthy', 'Spain', 'early', 'Mouth', 'Indoor', 'Butter', 'Coat']"
609,609,Crimea Blue,Hybrid,"Happy, Euphoric, Creative, Uplifted, Sleepy",,"Blueberry, Tea, Berry",Crimea Blue is a hybrid strain bred by Barney's Farm that is a cross between Blueberry and Crimean hash plant.  This short plant completes flowering in 8 to 9 weeks and produces higher than average yields.   ,5,['hybrid'],"['happy', 'creative', 'sleepy', 'euphoric', 'uplifted']",[],"['Berry', 'Blueberry', 'tea']","['Crimea', 'Blue', 'hybrid', 'strain', 'breed', 'Barney', 'Farm', 'cross', 'Blueberry', 'crimean', 'hash', 'plant', '  ', 'short', 'plant', 'complete', 'flower', '8', '9', 'week', 'produce', 'high', 'average', 'yield', '\xa0\xa0']","['Crimean', 'Farm', 'Short', '  ', 'Hybrid', 'Crimea', 'Produce', 'complete', 'yield', 'Plant', '\xa0\xa0 ', 'Uplifted', 'Happy', 'Week', 'Sleepy', '8', 'Blueberry', 'Breed', 'high', 'average', 'Blue', 'Berry', 'Strain', 'Cross', 'creative', 'euphoric', 'Hash', 'Flower', 'Barney', 'Tea', '9']"
610,610,Critical 47,Hybrid,"Giggly, Happy, Relaxed, Sleepy, Talkative",,"Skunk, Sweet, Honey","Critical 47 is hybrid in genetics and by name. A sweet, skunky cross between Critical Mass and AK-47 Critical 47 has a reputation for its pungent aroma and happy, relaxing effects. The rapid finishing time and flavors of mango, peach, and vanilla make Critical 47 a treat for growers and consumers alike. It is a great strain for cloning due to its small internodal distance and thick branches. However, its stong odor encourages the use of carbon filters when grown indoors.",5,['hybrid'],"['happy', 'giggly', 'sleepy', 'talkative', 'relaxed']",[],"['sweet', 'Honey', 'Skunk']","['critical', '47', 'hybrid', 'genetics', 'sweet', 'skunky', 'cross', 'Critical', 'Mass', 'AK-47', 'Critical', '47', 'reputation', 'pungent', 'aroma', 'happy', 'relax', 'effect', 'rapid', 'finishing', 'time', 'flavor', '  ', 'mango', 'peach', 'vanilla', 'Critical', '47', 'treat', 'grower', 'consumer', 'alike', '  ', '  ', 'great', 'strain', 'cloning', 'small', 'internodal', 'distance', 'thick', 'branch', '  ', 'stong', 'odor', 'encourage', 'use', 'carbon', 'filter', '  ', 'grow', 'indoor']","['finishing', '  ', 'Hybrid', 'Sweet', 'Relaxed', 'Distance', 'Vanilla', 'effect', 'Cloning', 'Grower', 'Consumer', 'Skunk', 'grow', 'happy', 'skunky', 'relax', 'giggly', 'sleepy', 'Treat', 'Genetics', 'Filter', 'Critical', '47', 'Time', 'pungent', 'great', 'Strain', 'Cross', 'Odor', 'Mango', 'Small', 'Honey', 'reputation', 'Internodal', 'Carbon', 'Thick', 'alike', 'Use', 'Aroma', 'Flavor', 'Rapid', 'talkative', 'Peach', 'stong', 'Branch', 'encourage', 'Ak-47', 'Indoor', 'Mass']"
